Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Type,Modification Reference,Gross Currency,Gross Debit (GC),Gross Credit (GC),Exchange Rate,Net Currency,Net Debit (NC),Net Credit (NC),Commission (NC),Markup (NC),Scheme Fees (NC),Interchange (NC),Advanced (NC),Advancement Code,Advancement Batch,Payment Method Variant,Batch Number,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10,Modification Merchant Reference
TurbiBR,TurbiBRCOM,4345458324459970,116731 | 8501236 | 128252 | 24 | FPI7484,mc,2018-12-26 14:08:00,BRST,SettledInstallment,1745458404210931,BRL,,50.00,1,BRL,,0.00,1.38,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116731
TurbiBR,TurbiBRCOM,1645458324775105,116733 | 8150 | 128254 | 69 | GJT1128,mc,2018-12-26 16:37:54,BRST,SettledInstallment,1745458494213506,BRL,,37.01,1,BRL,,0.00,1.02,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116733
TurbiBR,TurbiBRCOM,4845458492633203,116757 | 8499998 | 128278 | 27 | GIE0915,mc,2018-12-26 18:32:51,BRST,SettledInstallment,4345458563213732,BRL,,100.00,1,BRL,,0.00,2.75,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116757
TurbiBR,TurbiBRCOM,4345456197799456,116614 | 8502346 | 128135 | 46 | FZP6949,mc,2018-12-26 09:42:58,BRST,SettledInstallment,1645458245218086,BRL,,229.50,1,BRL,,0.00,6.31,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116614
TurbiBR,TurbiBRCOM,4845458154004990,116713 | 8524218 | 128234 | 42 | GCE5762,mc,2018-12-26 11:22:57,BRST,SettledInstallment,1645458305201774,BRL,,43.62,1,BRL,,0.00,1.20,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116713
TurbiBR,TurbiBRCOM,1645454716941355,116452 | 8501573 | 127973 | 66 | GHH6346,mc,2018-12-26 20:32:59,BRST,SettledInstallment,1345458635209029,BRL,,592.00,1,BRL,,0.00,16.28,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116452
TurbiBR,TurbiBRCOM,4545456424882024,116620 | 8506369 | 128141 | 19 | FJG9824,mc,2018-12-25 21:52:50,BRST,SettledInstallment,1845457819222456,BRL,,253.50,1,BRL,,0.00,6.97,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116620
TurbiBR,TurbiBRCOM,1745455210443359,116538 | 8527608 | 128059 | 67 | FVV7524,mc,2018-12-26 20:32:59,BRST,SettledInstallment,1645458635201221,BRL,,400.00,1,BRL,,0.00,11.00,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116538
TurbiBR,TurbiBRCOM,1845458633946304,116779 | 8524059 | 128300 | 19 | FJG9824,mc,2018-12-26 20:42:51,BRST,SettledInstallment,1345458641217883,BRL,,30.00,1,BRL,,0.00,0.82,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116779
TurbiBR,TurbiBRCOM,1845456878415159,116452 | 8501573 | 127973 | 66 | GHH6346,mc,2018-12-26 20:32:59,BRST,SettledInstallment,1845458635208885,BRL,,14.87,1,BRL,,0.00,0.41,,,,,0000025213,40618122602803829101,mccredit,91,,,,,,,,Capture Request bookingId 116452
TurbiBR,TurbiBRCOM,4625455699454595,116576 | 8499613 | 128097 | 49 | GDG8981,mc,2018-12-25 21:32:57,BRST,SettledInstallment,1625457807223561,BRL,,389.75,1,BRL,,379.03,10.72,,,,,,,mccredit,91,,,,,,,,Capture Request bookingId 116576
TurbiBR,TurbiBRCOM,4625457661979658,116694 | 8528170 | 128215 | 34 | GAK2624,mc,2018-12-25 21:12:47,BRST,SettledInstallment,4625457795224971,BRL,,35.52,1,BRL,,34.54,0.98,,,,,,,mccredit,91,,,,,,,,Capture Request bookingId 116694
